Group;  in;  out; indef; in/out;  in-out/in+out; hub_ranks; auth_ranks
Int astro; 0; 0; 0; inf; inf; 0.003937; 0.003937
Int astro; 0; 0; 0; inf; inf; 0.003937; 0.003937
Int astro; 1; 0; 0; inf; 1; 0; 0.007874
Int astro; 0; 0; 0; inf; inf; 0.003937; 0.003937
Int astro; 0; 0; 0; inf; inf; 0.003937; 0.003937
Int astro; 0; 0; 0; inf; inf; 0.003937; 0.003937
Int astro; 0; 0; 0; inf; inf; 0.003937; 0.003937
Int astro; 0; 0; 0; inf; inf; 0.003937; 0.003937
Int astro; 0; 0; 0; inf; inf; 0.003937; 0.003937
Int astro; 0; 0; 0; inf; inf; 0.003937; 0.003937
Int astro; 0; 0; 0; inf; inf; 0.003937; 0.003937
Int astro; 0; 0; 0; inf; inf; 0.003937; 0.003937
Int astro; 0; 0; 0; inf; inf; 0.003937; 0.003937
Int astro; 0; 0; 0; inf; inf; 0.003937; 0.003937
Int astro; 0; 0; 0; inf; inf; 0.003937; 0.003937
Int astro; 0; 0; 0; inf; inf; 0.003937; 0.003937
Int astro; 0; 0; 0; inf; inf; 0.003937; 0.003937
Int astro; 0; 0; 0; inf; inf; 0.003937; 0.003937
Int astro; 0; 0; 0; inf; inf; 0.003937; 0.003937
Int astro; 0; 0; 0; inf; inf; 0.003937; 0.003937
Int astro; 0; 0; 0; inf; inf; 0.003937; 0.003937
Int astro; 0; 0; 0; inf; inf; 0.003937; 0.003937
Int astro; 0; 0; 0; inf; inf; 0.003937; 0.003937
Int astro; 0; 0; 0; inf; inf; 0.003937; 0.003937
Int astro; 0; 0; 0; inf; inf; 0.003937; 0.003937
Int astro; 0; 0; 0; inf; inf; 0.003937; 0.003937
Int astro; 0; 0; 0; inf; inf; 0.003937; 0.003937
Int astro; 0; 0; 0; inf; inf; 0.003937; 0.003937
Int astro; 0; 1; 0; 0; -1; 0.007874; 0
Int astro; 0; 0; 0; inf; inf; 0.003937; 0.003937
Int astro; 0; 0; 0; inf; inf; 0.003937; 0.003937
Int astro; 0; 0; 0; inf; inf; 0.003937; 0.003937
Int astro; 11; 4; 0; 2.75; 0.46667; 0.0040874; 0.010907
Int astro; 0; 0; 0; inf; inf; 0.003937; 0.003937
Int astro; 0; 0; 0; inf; inf; 0.003937; 0.003937
Int astro; 0; 0; 0; inf; inf; 0.003937; 0.003937
Int astro; 0; 0; 0; inf; inf; 0.003937; 0.003937
Int astro; 0; 0; 0; inf; inf; 0.003937; 0.003937
Int astro; 0; 0; 0; inf; inf; 0.003937; 0.003937
Int astro; 0; 0; 0; inf; inf; 0.003937; 0.003937
Int astro; 2; 4; 0; 0.5; -0.33333; 0.0049372; 0.0067438
Int astro; 0; 0; 0; inf; inf; 0.003937; 0.003937
Int astro; 0; 0; 0; inf; inf; 0.003937; 0.003937
Int astro; 0; 0; 0; inf; inf; 0.003937; 0.003937
Int astro; 0; 0; 0; inf; inf; 0.003937; 0.003937
Int astro; 0; 0; 0; inf; inf; 0.003937; 0.003937
Int astro; 0; 0; 0; inf; inf; 0.003937; 0.003937
Int astro; 0; 0; 0; inf; inf; 0.003937; 0.003937
Int astro; 0; 0; 0; inf; inf; 0.003937; 0.003937
Int astro; 0; 0; 0; inf; inf; 0.003937; 0.003937
Int astro; 0; 0; 0; inf; inf; 0.003937; 0.003937
Int astro; 0; 0; 0; inf; inf; 0.003937; 0.003937
Int astro; 1; 3; 0; 0.33333; -0.5; 0.0079908; 3.7384e-09
Int astro; 0; 0; 0; inf; inf; 0.003937; 0.003937
Int astro; 0; 0; 0; inf; inf; 0.003937; 0.003937
Int astro; 3; 6; 0; 0.5; -0.33333; 0.0066067; 0.0022822
Int astro; 0; 0; 0; inf; inf; 0.003937; 0.003937
Int astro; 0; 0; 0; inf; inf; 0.003937; 0.003937
Int astro; 0; 0; 0; inf; inf; 0.003937; 0.003937
Int astro; 0; 0; 0; inf; inf; 0.003937; 0.003937
Int astro; 1; 0; 0; inf; 1; 0; 0.0036889
Int astro; 0; 0; 0; inf; inf; 0.003937; 0.003937
Int astro; 0; 0; 0; inf; inf; 0.003937; 0.003937
Int astro; 0; 0; 0; inf; inf; 0.003937; 0.003937
Int astro; 0; 0; 0; inf; inf; 0.003937; 0.003937
Int astro; 0; 0; 0; inf; inf; 0.003937; 0.003937
Int astro; 0; 0; 0; inf; inf; 0.003937; 0.003937
Int astro; 0; 0; 0; inf; inf; 0.003937; 0.003937
Int astro; 0; 0; 0; inf; inf; 0.003937; 0.003937
Int astro; 0; 0; 0; inf; inf; 0.003937; 0.003937
Int astro; 0; 0; 0; inf; inf; 0.003937; 0.003937
Int astro; 0; 0; 0; inf; inf; 0.003937; 0.003937
Int astro; 0; 0; 0; inf; inf; 0.003937; 0.003937
Int astro; 0; 0; 0; inf; inf; 0.003937; 0.003937
Int astro; 0; 0; 0; inf; inf; 0.003937; 0.003937
Int astro; 0; 0; 0; inf; inf; 0.003937; 0.003937
Int astro; 0; 1; 0; 0; -1; 6.6955e-09; 0
